task,split,n_sentences,n_classes,labels
agent_identity,dev,420,14,Ava|Ben|Clara|Diego|Elena|Farid|Grace|Hugo|Inez|Jonah|Keira|Liam|Maya|Noah
agent_identity,test_template,210,14,Ava|Ben|Clara|Diego|Elena|Farid|Grace|Hugo|Inez|Jonah|Keira|Liam|Maya|Noah
recipient_identity,dev,420,14,Ava|Ben|Clara|Diego|Elena|Farid|Grace|Hugo|Inez|Jonah|Keira|Liam|Maya|Noah
recipient_identity,test_template,210,14,Ava|Ben|Clara|Diego|Elena|Farid|Grace|Hugo|Inez|Jonah|Keira|Liam|Maya|Noah
role_assignment,dev,84,2,preserved|swapped
role_assignment,test_both,18,2,preserved|swapped
role_assignment,test_entity,36,2,preserved|swapped
role_assignment,test_template,42,2,preserved|swapped
event_state,dev,84,2,carried|dropped
event_state,test_both,18,2,carried|dropped
event_state,test_entity,36,2,carried|dropped
event_state,test_template,42,2,carried|dropped
cause_holder_role,dev,168,2,agent|recipient
cause_holder_role,test_both,36,2,agent|recipient
cause_holder_role,test_entity,72,2,agent|recipient
cause_holder_role,test_template,84,2,agent|recipient
polarity,dev,84,2,affirmative|negative
polarity,test_both,18,2,affirmative|negative
polarity,test_entity,36,2,affirmative|negative
polarity,test_template,42,2,affirmative|negative
temporal_relation,dev,84,2,after|before
temporal_relation,test_both,18,2,after|before
temporal_relation,test_entity,36,2,after|before
temporal_relation,test_template,42,2,after|before
