identifier,template_id,manipulation,split,template_split,entity_split,agent,recipient,event,changed_field,base,paraphrase,counterfactual,base_paraphrase_unigram_jaccard,base_paraphrase_unigram_multiset_f1,base_paraphrase_bigram_jaccard,base_paraphrase_edit_similarity,base_paraphrase_structural_edit_similarity,base_paraphrase_token_count,base_paraphrase_length_difference,base_counterfactual_unigram_jaccard,base_counterfactual_unigram_multiset_f1,base_counterfactual_bigram_jaccard,base_counterfactual_edit_similarity,base_counterfactual_structural_edit_similarity,base_counterfactual_token_count,base_counterfactual_length_difference,absolute_unigram_jaccard_gap,absolute_unigram_multiset_f1_gap,absolute_bigram_jaccard_gap,absolute_edit_similarity_gap,absolute_structural_edit_similarity_gap,absolute_length_difference_gap,match_score
agent_recipient_style_2_001,agent_recipient_style_2,agent_recipient,test_template,test,dev,Ben,Grace,give,agent_recipient,Ben gave Grace the map when she was locked out.,"When Grace was locked out, Ben gave her the map.","When Ben was locked out, Grace gave him the map.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
temporal_style_0_018,temporal_style_0,temporal,test_entity,dev,test,Uma,Theo,clean,temporal_relation,Uma cleaned the spill after the alarm rang.,"Once the alarm rang, Uma cleaned the spill.","Before the alarm rang, Uma cleaned the spill.",0.75,0.875,0.5555555555555556,0.0,0.0,8.0,0.0,0.75,0.875,0.5555555555555556,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agent_recipient_style_1_007,agent_recipient_style_1,agent_recipient,dev,dev,dev,Hugo,Maya,give,agent_recipient,Hugo gave Maya the torch since she was locked out.,"Since Maya was locked out, Hugo gave her the torch.","Since Hugo was locked out, Maya gave him the torch.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_0_004,agent_recipient_style_0,agent_recipient,dev,dev,dev,Elena,Jonah,give,agent_recipient,Elena gave Jonah the note because he was locked out.,"Because Jonah was locked out, Elena gave him the note.","Because Elena was locked out, Jonah gave her the note.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
polarity_style_0_016,polarity_style_0,polarity,test_entity,dev,test,Rosa,Owen,repair,polarity,Rosa did repair the radio because it was broken.,"Since the radio was broken, Rosa did mend it.","Because the radio was broken, Rosa did not fix it.",0.6363636363636364,0.7777777777777778,0.23076923076923078,0.0,0.0,9.0,0.0,0.7272727272727273,0.8421052631578947,0.21428571428571427,0.0,0.0,10.0,1.0,0.09090909090909094,0.0643274853801169,0.016483516483516508,0.0,0.0,1.0,1.1717200927727243
temporal_style_2_009,temporal_style_2,temporal,test_template,test,dev,Jonah,Ava,clean,temporal_relation,Jonah cleaned the spill after the lights failed.,"Once the lights failed, Jonah cleaned the spill.","Before the lights failed, Jonah cleaned the spill.",0.75,0.875,0.5555555555555556,0.0,0.0,8.0,0.0,0.75,0.875,0.5555555555555556,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agent_recipient_style_1_016,agent_recipient_style_1,agent_recipient,test_entity,dev,test,Rosa,Owen,give,agent_recipient,Rosa gave Owen the map since he was locked out.,"Since Owen was locked out, Rosa gave him the map.","Since Rosa was locked out, Owen gave her the map.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_2_000,agent_recipient_style_2,agent_recipient,test_template,test,dev,Ava,Farid,give,agent_recipient,Ava gave Farid the key when he was locked out.,"When Farid was locked out, Ava gave him the key.","When Ava was locked out, Farid gave her the key.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
temporal_style_1_002,temporal_style_1,temporal,dev,dev,dev,Clara,Hugo,clean,temporal_relation,Clara cleaned the spill after the bell rang.,"Once the bell rang, Clara cleaned the spill.","Before the bell rang, Clara cleaned the spill.",0.75,0.875,0.5555555555555556,0.0,0.0,8.0,0.0,0.75,0.875,0.5555555555555556,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agent_recipient_style_0_007,agent_recipient_style_0,agent_recipient,dev,dev,dev,Hugo,Maya,give,agent_recipient,Hugo gave Maya the torch because she was locked out.,"Because Maya was locked out, Hugo gave her the torch.","Because Hugo was locked out, Maya gave him the torch.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
