identifier,template_id,manipulation,split,template_split,entity_split,agent,recipient,event,changed_field,base,paraphrase,counterfactual,base_paraphrase_unigram_jaccard,base_paraphrase_unigram_multiset_f1,base_paraphrase_bigram_jaccard,base_paraphrase_edit_similarity,base_paraphrase_structural_edit_similarity,base_paraphrase_token_count,base_paraphrase_length_difference,base_counterfactual_unigram_jaccard,base_counterfactual_unigram_multiset_f1,base_counterfactual_bigram_jaccard,base_counterfactual_edit_similarity,base_counterfactual_structural_edit_similarity,base_counterfactual_token_count,base_counterfactual_length_difference,absolute_unigram_jaccard_gap,absolute_unigram_multiset_f1_gap,absolute_bigram_jaccard_gap,absolute_edit_similarity_gap,absolute_structural_edit_similarity_gap,absolute_length_difference_gap,match_score
agent_recipient_style_0_000,agent_recipient_style_0,agent_recipient,dev,dev,dev,Ava,Farid,give,agent_recipient,Ava gave Farid the key because he was locked out.,"Because Farid was locked out, Ava gave him the key.","Because Ava was locked out, Farid gave her the key.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_0_001,agent_recipient_style_0,agent_recipient,dev,dev,dev,Ben,Grace,give,agent_recipient,Ben gave Grace the map because she was locked out.,"Because Grace was locked out, Ben gave her the map.","Because Ben was locked out, Grace gave him the map.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_0_002,agent_recipient_style_0,agent_recipient,dev,dev,dev,Clara,Hugo,give,agent_recipient,Clara gave Hugo the torch because he was locked out.,"Because Hugo was locked out, Clara gave him the torch.","Because Clara was locked out, Hugo gave her the torch.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_0_003,agent_recipient_style_0,agent_recipient,dev,dev,dev,Diego,Inez,give,agent_recipient,Diego gave Inez the package because she was locked out.,"Because Inez was locked out, Diego gave her the package.","Because Diego was locked out, Inez gave him the package.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_0_004,agent_recipient_style_0,agent_recipient,dev,dev,dev,Elena,Jonah,give,agent_recipient,Elena gave Jonah the note because he was locked out.,"Because Jonah was locked out, Elena gave him the note.","Because Elena was locked out, Jonah gave her the note.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_0_005,agent_recipient_style_0,agent_recipient,dev,dev,dev,Farid,Keira,give,agent_recipient,Farid gave Keira the key because she was locked out.,"Because Keira was locked out, Farid gave her the key.","Because Farid was locked out, Keira gave him the key.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_0_006,agent_recipient_style_0,agent_recipient,dev,dev,dev,Grace,Liam,give,agent_recipient,Grace gave Liam the map because he was locked out.,"Because Liam was locked out, Grace gave him the map.","Because Grace was locked out, Liam gave her the map.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_0_007,agent_recipient_style_0,agent_recipient,dev,dev,dev,Hugo,Maya,give,agent_recipient,Hugo gave Maya the torch because she was locked out.,"Because Maya was locked out, Hugo gave her the torch.","Because Hugo was locked out, Maya gave him the torch.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_0_008,agent_recipient_style_0,agent_recipient,dev,dev,dev,Inez,Noah,give,agent_recipient,Inez gave Noah the package because he was locked out.,"Because Noah was locked out, Inez gave him the package.","Because Inez was locked out, Noah gave her the package.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
agent_recipient_style_0_009,agent_recipient_style_0,agent_recipient,dev,dev,dev,Jonah,Ava,give,agent_recipient,Jonah gave Ava the note because she was locked out.,"Because Ava was locked out, Jonah gave her the note.","Because Jonah was locked out, Ava gave him the note.",0.8181818181818182,0.9,0.2857142857142857,0.0,0.09999999999999998,10.0,0.0,0.8181818181818182,0.9,0.2,0.0,0.09999999999999998,10.0,0.0,0.0,0.0,0.08571428571428569,0.0,0.0,0.0,0.08571428571428569
