sentence_id,triple_id,variant,text,manipulation,template_id,split,template_split,entity_split,semantic_agent,semantic_recipient,event_lemma,event_state,cause_holder_role,causal_relation,role_assignment,polarity,temporal_relation,agent_identity_eligible,recipient_identity_eligible,role_assignment_eligible,event_state_eligible,cause_holder_role_eligible,causal_relation_eligible,polarity_eligible,temporal_relation_eligible
agent_recipient_style_0_000__base,agent_recipient_style_0_000,base,Ava gave Farid the key because he was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Ava,Farid,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_000__paraphrase,agent_recipient_style_0_000,paraphrase,"Because Farid was locked out, Ava gave him the key.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Ava,Farid,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_000__counterfactual,agent_recipient_style_0_000,counterfactual,"Because Ava was locked out, Farid gave her the key.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Farid,Ava,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_001__base,agent_recipient_style_0_001,base,Ben gave Grace the map because she was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Ben,Grace,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_001__paraphrase,agent_recipient_style_0_001,paraphrase,"Because Grace was locked out, Ben gave her the map.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Ben,Grace,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_001__counterfactual,agent_recipient_style_0_001,counterfactual,"Because Ben was locked out, Grace gave him the map.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Grace,Ben,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_002__base,agent_recipient_style_0_002,base,Clara gave Hugo the torch because he was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Clara,Hugo,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_002__paraphrase,agent_recipient_style_0_002,paraphrase,"Because Hugo was locked out, Clara gave him the torch.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Clara,Hugo,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_002__counterfactual,agent_recipient_style_0_002,counterfactual,"Because Clara was locked out, Hugo gave her the torch.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Hugo,Clara,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_003__base,agent_recipient_style_0_003,base,Diego gave Inez the package because she was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Diego,Inez,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_003__paraphrase,agent_recipient_style_0_003,paraphrase,"Because Inez was locked out, Diego gave her the package.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Diego,Inez,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_003__counterfactual,agent_recipient_style_0_003,counterfactual,"Because Diego was locked out, Inez gave him the package.",agent_recipient,agent_recipient_style_0,dev,dev,dev,Inez,Diego,give,,agent,causal,swapped,,,True,True,True,False,True,False,False,False
agent_recipient_style_0_004__base,agent_recipient_style_0_004,base,Elena gave Jonah the note because he was locked out.,agent_recipient,agent_recipient_style_0,dev,dev,dev,Elena,Jonah,give,,recipient,causal,preserved,,,True,True,True,False,True,False,False,False
